tweet_id,tweet_text,tweet_classifications
743618284843474945,"Salute to @spencedbyus and @CharlieKadoo for your @midnight #DadSongs top-10 nominations. Funny stuff, as always. Good luck!",NHMR
743686106592382977,Watching @midnight with @hardwick (@nerdist). New Episode - @mrmattwalsh @pagetpaget and @PFTompkins (S03E119) #DadSongs @ComedyCentral,NHMR
743694329567313920,#DadSongs Daddy Lesions @midnight,NHMR
743693391058239489,#DadSongs Papa Told Me He Had Come @midnight,NHMR
743605381239349248,"Congrats, @midnight top taggers! @mattchittum @CharlieKadoo @spencedbyus #DadSongs Good luck tonight!",NHMR
743583783148883968,My Heart Will Go On because I eat Cheerios. @midnight #DadSongs,OBSV
743627509179133953,You Be Grillin' #DadSongs @midnight,WPLY_OBSV
743639701437849601,He's Crafty #DadSongs @midnight,WPLY_OBSV
743624556565401600,Neck Ties That Bind @midnight #dadsongs #TheBoss,WPLY_OBSV
743942476449353729,"@midnight #DadSongs (#late) ""Who Is Responsible For The Release Of These Dogs?!""",OBSV
743839155357024257,Welcome to my house..... every other weekend and summers. #DadSongs @midnight,OBSV
743586130503708672,#DadSongs You're legs are so veiny @midnight,ABSD
743638769694191616,Takin' Care of Business on the pot #DadSongs @midnight,VLGR
743583557298323456,"#DadSongs Hey Jude, pass me another beer @midnight",OBSV
743603925912256512,"#dadsongs @midnight i'm hot blooded, check it and see, don't put that thermostat above 63.",OBSV
743637870171193344,My Hair now has a Touch of Grey #DadSongs @midnight,WPLY_OBSV
743666581629198336,Deadbeat It #DadSongs @midnight #SorryImLate #IWasOnVacation,WPLY_OBSV
743621903416500224,@midnight #dadsongs I Get by with a little help from Depends,ISLT_OBSV
743634543190515712,All about that Largemouth Bass @midnight #DadSongs,WPLY_OBSV
743691995973976064,"#DadSongs Papa, Don't Practice What You Preach @midnight",OBSV
743584101920350208,#DadSongs I'll make love to you.. 15 minutes after I take this blue pill @midnight,ISLT_OBSV
743628548942925824,My Bladder's Under Pressure #DadSongs @midnight #prostateproblems,OBSV
743586493503963137,#DadSongs All night longzzzzzzzzzzzz..... @midnight,OBSV
743643387656474624,Hey! you! Get off of my lawn #DadSongs @midnight,OBSV
743613159869546496,#DadSongs @midnight Juat Beat It when your mom is on her monthly cycle,OBSV
743651176248446976,Achy Breaky Back @midnight #DadSongs,OBSV
743618257022783489,@midnight #DadSongs All You Need Is Duct Tape,OBSV
743841757348007936,Straight out of patience. #DadSongs @midnight,OBSV
743593751633924096,Holding Out For A Hero (or hoagie or sub) #DadSongs @midnight,WPLY_OBSV
743595729214705664,Stairway to Bengay @midnight #DadSongs,OBSV
743585583038140416,#DadSongs Just the way you were @midnight,ISLT_OBSV
743699398907957248,#DadSongs My Part Belongs to Daddy @midnight,NHMR
743955094148780032,@midnight Stop! It is Game of Thrones. #DadSongs,NHMR
743628226484830208,We Built This City (walking uphill in a snow storm both ways) #DadSongs @midnight,OBSV
743587175795560448,#DadSongs Younger Girl @midnight,NHMR
