tweet_id,tweet_text,tweet_classifications
750742909046165508,#GotFiredBecause I gave my Mom popcorn. @midnight,ABSD
750719334478209024,#GotFiredBecause @midnight The customer is NOT always right!,OBSV
750734816467750913,"#GotFiredBecause when the boss says ""Don't talk about fight club,"" then you'd better not talk about fight club. @midnight",OBSV
750733567290990596,"#GotFiredBecause my assistant never gave me my messages. ""Blow-up Betty"" wasn't all purpose after all.@midnight",OBSV
750718301546872832,"""Day drinking"" is not considered a team building exercise. #GotFiredBecause @midnight",OBSV
750743181176688640,@midnight #GotFiredBecause I brought my milkshake to the yard.,OBSV
750747030327291904,I said Friends is better than Seinfeld #GotFiredBecause @midnight,OBSV
750731838193274880,Flexible work hours was apparently something only I agreed to. #GotFiredBecause @midnight,OBSV
750717673948979201,"According to my boss, apparently ""The kitchen supplies closet is not your own personal Target"". #GotFiredBecause @midnight",OBSV
750739911016259584,"@midnight #GotFiredBecause apparently there is no actual ""bring your llama to work"" day",OBSV
750730499967086593,Apparently 'Pony Boys' aren't considered service animals. @midnight #GotFiredBecause,OBSV
750722361653993472,#GotFiredBecause my boss saw me dancing. At the stripclub. What...no one told me I can't have a second job. @midnight,OBSV
750731065707229184,#GotFiredBecause I use Wikipedia for everything @midnight,OBSV
750721177081884672,#Gotfiredbecause I made the boss a bad cup of coffee. No one told me the pink salt crystals were not prettified pink sugar. @midnight,OBSV
750743478510817280,"Apparently Lederhosen is not the ""Appropriate Attire"" for a Docent at the Holocaust Museum #GotFiredBecause @midnight",OBSV
750738876306714624,"Pants are a ""requirement"". #GotFiredBecause @midnight",OBSV
750745044315934720,@midnight Apparently time spent on Facebook is not billable hours. #GotFiredBecause,OBSV
750738717006962688,#GotFiredBecause Management didn't buy my self diagnosis of narcolepsy. @midnight,OBSV
750747606523883521,@midnight #GotFiredBecause I'm a beloved Game of Thrones character,OBSV
750717447842521088,#GotFiredBecause of the things I did after mis-reading a lottery ticket #HashtagWars @midnight,OBSV
750734253525078016,"#GotFiredBecause I kept saying""That's what she said"" after every meeting comment. @midnight https://t.co/dAkuXMFcrT",OBSV
750717553203437568,Trying to win @midnight's hash tag wars isn't a reason to call in sick. #GotFiredBecause,OBSV
750748618923974657,#GotFiredBecause @midnight I took it out.,NHMR
750731798070628352,#GotFiredBecause my name is Gilbert Gotfired @midnight,WPLY
750722620837036032,@midnight #GotFiredBecause I ruined the buffet at the Harrow Club this morning ..,OBSV
750748549059600385,#GotFiredBecause @midnight Its too hard to serve the kids hot lunch past the court ordered 100 yards,OBSV
750737311168598016,My penis is not a pen and toner is not company ink. #GotFiredBecause @midnight,VLGR
750725711305015296,Who knew my boss follows @midnight hashtag Wars... #GotFiredBecause,OBSV
750716128348037120,#GotFiredBecause I played #HashtagWars all day @midnight,OBSV
750546827481587713,#GotFiredBecause I used Wingdings as my preferred Word document font @midnight,OBSV
750532948886257664,Vodka doesn't go in your waterbottle @midnight #GotFiredBecause,OBSV
