tweet_id,tweet_text,tweet_classifications
667359770622455808,@midnight Jesus F*cking Christmas #SexyHolidays #PointsMe,VLGR
667375945133592576,@midnight #sexyholidays Keaster,VLGR_WPLY_OBSV
667369283761086464,Chanucocks. You're going need more than 8 days of oil. #SexyHolidays @midnight,VLGR_WPLY_OBSV
667353833421434880,Bondage Veteran's Day #sexyholidays @midnight,VLGR_OBSV
667354998305660928,Any hole-y Day #SexyHolidays @midnight,VLGR_WPLY_OBSV
667359290164817920,@midnight #sexyholidays Dingle Swells #PointsMe,VLGR_WPLY_OBSV
667372446622740480,@midnight #sexyholidays stocking stuffers,VLGR_WPLY_OBSV
667355256754343936,Yeaster #SexyHolidays @midnight @pointsme,VLGR_WPLY_OBSV
667201462338891776,Cream Pi Day #SexyHolidays @midnight,VLGR_WPLY_OBSV
667353671038963712,GroundHug Day #sexyholidays @midnight,WPLY_OBSV
667354493311324161,Box-ing Day ( How can you improve upon that?) #SexyHolidays @midnight @pointsme,NHMR
667351576995094528,St. Poke your ass day I'll pinch you if your not wearing cream #SexyHolidays #PointsMe @midnight,VLGR
667371402505248768,Happy Birthday Mr Presidents Day #sexyholidays #PointsMe @midnight,VLGR_OBSV
667365010721677312,Spanksgiving #sexyholidays @midnight,VLGR_WPLY_OBSV
667368396787351552,Labial Independence Day #SexyHolidays @midnight,VLGR_OBSV
667369234234675200,St. Pat's Dick Day #SexyHolidays @midnight #PointsMe,VLGR_WPLY_OBSV
667367187888414720,Grounghoggie Style Day #sexyholidays @midnight,VLGR_WPLY_OBSV
667371328404652032,Santa's Elves. They're just so damn sexy. #SexyHolidays @midnight,NHMR
667369481124057089,National Bareback Humpalot Day #sexyholidays @midnight,VLGR
667353913255837697,Girth Day #sexyholidays @midnight,VLGR_WPLY_OBSV
667368858601189376,What what in the butt day #SexyHolidays @midnight,VLGR
667201078774001664,GrindrHog's Day - #SexyHolidays @midnight #PointsMe,WPLY_OBSV
667356582309531648,@midnight Carving a Halloween Blumpkin #SexyHolidays #PointsMe,VLGR_WPLY_OBSV
667351941920329728,Fappy Xmas (War is over) #SexyHolidays @midnight,VLGR_WPLY_OBSV
