tweet_id,tweet_text,tweet_classifications
748170328027860992,It Grovels #BadMonsterMovies @midnight,NHMR
748196367345016832,#BadMonsterMovies @midnight,NHMR
748223272236417024,#BadMonsterMovies @midnight https://t.co/lZunuqXN9d,NHMR
748170855453073408,The Grundge 2 #BadMonsterMovies @midnight,ISLT_OBSV_IRNY
748204791172567041,@midnight #PointsMe Creature From The Black Balloon #BadMonsterMovies,OBSV_WPLY
748184088364752896,The People Under the Overpass #BadMonsterMovies @midnight,OBSV_WPLY
748187336333090816,The Mummy's Mommy #BadMonsterMovies .@midnight,OBSV_WPLY
748183833443336193,Carnival of Values #BadMonsterMovies @midnight,OBSV
748171475153125378,Canadian Horror Sorry #BadMonsterMovies @midnight,OBSV
748210772182851584,@midnight #BadMonsterMovies Sweet November starring Donald Trump,ISLT_OBSV
748192820918255616,The Day of the Truffles #BadMonsterMovies @midnight,OBSV_WPLY
748173858327273478,The Adventures of Ichabod Sorry to say Mr. Toad gave you Genital Warts #BadMonsterMovies @midnight,OBSV_VLGR
748191437418692609,Hamperella #BadMonsterMovies @midnight,OBSV_WPLY
748212380438564864,@midnight Illegal Alien: Deportation #badmonstermovies,OBSV
748174517445496832,"Frank N. Stein, C.P.A. #badmonstermovies @midnight",OBSV_WPLY
748186798422007810,"Night of the Pundit. ""He has... OPINIONS!!!"" #BadMonsterMovies @midnight",OBSV
748174229548445696,Bridezilla of Frankenstein #badmonstermovies @midnight,OBSV_WPLY
748182756933275648,The Conjuring 2 Look What I Pulled Out of Your Butt #BadMonsterMovies @midnight,OBSV_VLGR
748203793322512384,@midnight #PointsMe Nightmare On Pine St. #BadMonsterMovies,OBSV_WPLY
748229560957804544,A doctor who can do both comedy and drama. #BadMonsterMovies @midnight @paulscheer https://t.co/bAG6IEauo9,NHMR
748173172286042112,Godzilla vs Moth #badmonstermovies @midnight,ISLT_OBSV
748177002524344320,Prince Kong #BadMonsterMovies @midnight,OBSV
748229426333224960,@midnight The Invisible Man is Never Getting Laid #BadMonsterMovies,OBSV_VLGR
748208156023492608,@midnight #BadMonsterMovies Toxic Avenger,ISLT_OBSV_IRNY
748171864913018880,Sometimes They Come Back Yeah and Long Distance Relationships Work Too #BadMonsterMovies @midnight,OBSV_IRNY
748172121990303744,The House Fly #BadMonsterMovies @midnight,ISLT_OBSV
748211076303511552,@midnight District 69 #BadMonsterMovies,OBSV_VLGR
748193736874725376,#BadMonsterMovies Dr Jekyll &amp; Nauga Hyde @midnight https://t.co/KFAJMoBJPS,OBSV_WPLY
748201596228538368,Abbott and Costello Meet @RealGilbert #BadMonsterMovies @midnight,OBSV
748185029885366274,"The Slightly-Smaller-Than-Average Man! ""He doesn't live UP to your ideas of masulinity!"" #BadMonsterMovies @midnight",IRNY
748177492553269248,A Few Good Omen @midnight #BadMonsterMovies,OBSV_WPLY
748179183558262784,Alien Convent The Priests' aren't the only ones busting on alter boys chests #BadMonsterMovies @midnight,ISLT_OBSV
748184326496366592,Stephen King's Ambien Sleepwalkers #BadMonsterMovies @midnight,ABSD_OBSV
748190128368017408,The Worfman #BadMonsterMovies @midnight,OBSV_WPLY
