tweet_id,tweet_text,tweet_classifications
649636370873389057,Fresh until 12/25/2010 @midnight #BadTrampStamps,ABSD
649643506646937600,STOP READING THIS AND FUCK ME! #BadTrampStamps @midnight,VLGR
649633969948876800,A Little Dab'll Do Ya @midnight #badtrampstamps,OBSV
649431137018847233,If you see something say something. #BadTrampStamps @midnight,OBSV
649629869240926208,#BadTrampStamps @midnight Butterfly Effect,OBSV
649641928011595776,InserT hEre #BadTrampStamps @midnight,VLGR
649643144737218560,@midnight Daddy's little splooge princess #BadTrampStamps,VLGR
649431271832092677,An Eye Chart #BadTrampStamps @midnight,ABSD
649635887211483136,#badtrampstamps @midnight JACK,ABSD
649427294503612416,Rated R for Suggestive Themes #BadTrampStamps @midnight,VLGR
649637683929718784,Welcome to Newark #BadTrampStamps @midnight,ABSD
649469630168207360,Listen To My Podcast! #BadTrampStamps @midnight,ABSD
649635895822405632,"please remember, only 1 in the stink @midnight #BadTrampStamps",VLGR
649635675734540288,If You Can Read ThisWhat Are You Waiting For? #BadTrampStamps @midnight,VLGR
649628420893245442,#BadTrampStamps @midnight Beats Nothing,ABSD
649635737097342976,#badtrampstamps @midnight SMART,ABSD
649625659463958528,#SaynotoCrack #BadTrampStamps @midnight,VLGR
649629702827585536,"Milk, milk and lemonade on other side #BadTrampStamps @midnight",VLGR
649638420986359808,Made possible in part by a major grant from the National Endowment for the Humanities #BadTrampStamps @midnight,ABSD
649631748217663488,@midnight Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep Beep #BadTrampStamps,ABSD
649633569539690496,The Ultimate Driving Machine @midnight #badtrampstamps,ABSD
649625979002818560,You have no idea. #BadTrampStamps @midnight,ABSD
649641605800955905,Fucking A #BadTrampStamps @midnight,VLGR
649634464746725380,"@midnight smack twice to enter, knock twice when finished, pull hair to leave #badtrampstamps",VLGR
649625468329676800,This side up #BadTrampStamps @midnight,ABSD
649642542149931009,@midnight The splooge queen #BadTrampStamps,VLGR
649629091214168064,Back up 200 ft. #BadTrampStamps @midnight,ABSD
649629448254431233,#BadTrampStamps @midnight Surprise!,ABSD
649630115882749952,#BadTrampStamps @midnight Ph.D,ABSD
649627994584162304,#BadTrampStamps @midnight The Devil Made Me Do It,ABSD
649426824179519488,"As of Sept. 30, 2015 I do not give Facebook permission to use my pictures, information, or posts... @midnight #BadTrampStamps.",OBSV
649632292466327552,@theactuallucas: Insert tab D into slot A #BadTrampStamps @midnight,VLGR
649634399860862976,Open Other End #BadTrampStamps @midnight,VLGR
649631103930748929,FRONT #BadTrampStamps @midnight,ABSD
649642755900096512,@midnight don't blow your wad all in one place #BadTrampStamps,VLGR
649631726910767104,#BadTrampStamps @midnight Under New Management,ABSD
649629998815379456,Is it in yet? #BadTrampStamps @midnight,VLGR
649429639564161024,I'm Twitter Verified #BadTrampStamps @midnight,ABSD
649643253671833600,A pictographic set of instructions on how to pleasure her. #BadTrampStamps @midnight,VLGR
649630398276747264,Yield! #BadTrampStamps @midnight,ABSD
649643384454287360,"""TRUMP 2016"" (written in actual gold) #BadTrampStamps @midnight",ISLT_OBSV
649427569851375616,Stick figure family. @midnight #BadTrampStamps,ABSD_OBSV
649631268213157889,The San Francisco Treat @midnight #BadTrampStamps,VLGR_OBSV
649630761952215040,Exit Only #BadTrampStamps @midnight,VLGR
649626978518089728,Good for one (1) readmittance #BadTrampStamps @midnight,VLGR_OBSV
