tweet_id,tweet_text,tweet_classifications
746405639899885568,#ruinavideogame @midnight Legging of Zelda,WPLY_OBSV
746396105861128193,Doggy-Land-Minecraft #RuinAVideoGame @midnight,OBSV
746397346511020032,@midnight Kindom Sharts #ruinavideogame,WPLY_OBSV
746396569927303169,Angry Turds #RuinAVideoGame @midnight,WPLY_OBSV
746403496237240322,Time Housing Crisis #RuinAVideoGame @midnight,OBSV
746392148405170176,@midnight Need for Speedo #RuinAVideoGame,WPLY_OBSV
746396788211449856,Wii Fuck #RuinAVideoGame @midnight,OBSV_VLGR
746392535912701952,Waitcraft #RuinAVideoGame @midnight,WPLY_OBSV
746396780640690176,#RuinAVideoGame Mineshaft Collapse-Craft @midnight,WPLY_OBSV
746404875639070720,#RuinAVideoGame Injustice: Dogs Among Us @midnight,WPLY_OBSV
746400709118033924,@midnight #RuinAVideoGame Sonic Lost Cause,OBSV
746396645185699840,Crack-y Crush Saga #RuinAVideoGame @midnight,WPLY_OBSV
746396154393427968,@midnight Hulk Hogan's Alley #RuinAVideoGame,OBSV
746397132710641665,#RuinAVideoGame Metal Gear Solid Waste from your butthole @midnight,OBSV_VLGR
746393701161697280,Passive Aggressive Birds #RuinAVideoGame @midnight,OBSV
746401835062165504,Minekampft #RuinAVideoGame @midnight,WPLY_OBSV
746405191528775682,Call of Doodie #RuinAVideoGame @midnight https://t.co/dHidD5ia8p,WPLY_OBSV
746394485458886656,Tony Hawk's Pro Crastinator.@midnight #RuinAVideoGame,WPLY_OBSV
746393393421418496,Olde-Tymey Warfare 3 #RuinAVideoGame @midnight,OBSV
746393707625123841,Kirby WWE Superstar #RuinAVideoGame @midnight,WPLY_OBSV
746403420047708160,Call of Duty: Post-Ops #RuinAVideoGame @midnight,OBSV
746396379057164289,Donkey Beer Pong Kong #RuinAVideoGame @midnight,OBSV
746390324478615552,Super Street Artist II Turbo Hipster Championship Edition #RuinAVideoGame @midnight,OBSV
746397407898910720,"@midnight Grand Theft Auto is a felony, you should always obey the law. #RuinAVideoGame",OBSV
746390398369619968,@midnight God of Bore: Falling Asleep #RuinAVideoGame,WPLY_OBSV
746390087290724354,Avenue Q-bert #RuinAVideoGame @midnight,OBSV
746392914645946368,PharmVille #RuinAVideoGame @midnight,WPLY_OBSV
746398795030626305,@midnight #RuinAVideoGame Star Wars: The George Unleashed,OBSV
746404447824207872,@pileckis @midnight #RuinAVideoGame Personal Space Invaders,WPLY_OBSV
